dim,rep,num_inducing,marg_lik,mean_log_pred,time,a
1,0,21,-3197.2216049696726,-0.28427990863960134,0.27460384368896484,-0.4
1,0,21,-4370.3657740748895,-0.2961773159639997,0.26141929626464844,-0.2
1,0,21,-11537.474982569482,-0.4337866482511812,0.2734029293060303,0.0
1,1,5,-31310.52443976289,-0.8040942838849473,0.25203847885131836,-1.6
1,1,5,-29145.681187811188,-0.7790475710818126,0.2683258056640625,-1.4
1,1,5,-26765.217367723166,-0.7491499447350318,0.262692928314209,-1.2
1,1,5,-24102.145006194598,-0.7130892490294747,0.2721095085144043,-1.0
1,1,5,-21094.51086195778,-0.6692877083584963,0.2630910873413086,-0.8
1,1,5,-17726.217846697335,-0.6165669111650013,0.26640939712524414,-0.6
1,1,5,-14324.965672619,-0.5596174518209773,0.2565877437591553,-0.4
1,1,5,-12789.283290628104,-0.5262770082646837,0.2622497081756592,-0.2
1,1,5,-16154.187668653678,-0.5512897718234622,0.2597994804382324,0.0
1,1,9,-18799.754290577315,-0.6304623857328394,0.24961471557617188,-1.6
1,1,9,-16833.949681970385,-0.5961540859321968,0.2606687545776367,-1.4
1,1,9,-14707.862864048031,-0.5522150078582365,0.26169705390930176,-1.2
1,1,9,-12277.879845092626,-0.4881133108176489,0.2724735736846924,-1.0
1,1,9,-9785.008463495418,-0.42465828685505563,0.26636505126953125,-0.8
1,1,9,-7801.971050712782,-0.38197155016516826,0.26412439346313477,-0.6
1,1,9,-6377.678058710248,-0.3562754753713183,0.2692899703979492,-0.4
1,1,9,-6497.407024135362,-0.3614531806439975,0.2601778507232666,-0.2
1,1,9,-12694.383006711076,-0.4806798399446083,0.26088714599609375,0.0
1,1,15,-9292.76756062069,-0.4134004066906988,0.2552211284637451,-1.6
1,1,15,-8143.587785242649,-0.38898805772935635,0.2670297622680664,-1.4
1,1,15,-7138.157028673784,-0.3690192306171188,0.2729947566986084,-1.2
1,1,15,-6241.319889861705,-0.35255214634586435,0.2525961399078369,-1.0
1,1,15,-5378.577906336606,-0.33722647258413385,0.25937581062316895,-0.8
1,1,15,-4535.320198897287,-0.3223069265995547,0.2720460891723633,-0.6
1,1,15,-4027.5851263935183,-0.3160425557658213,0.2527492046356201,-0.4
1,1,15,-5060.905336599069,-0.33444691580993663,0.2695324420928955,-0.2
1,1,15,-12000.788373489617,-0.46442107090445145,0.25798749923706055,0.0
1,1,21,-6238.58752580735,-0.3522146045939131,0.2591438293457031,-1.6
1,1,21,-5612.227565364032,-0.3408114884613203,0.2554454803466797,-1.4
