dim,rep,num_inducing,marg_lik,mean_log_pred,time
3,3,1331,-10422.23176818074,-0.0,0.7350869178771973
3,3,2197,-8760.778443097159,-0.0,1.3709146976470947
3,4,27,-63390.62018279124,-0.0,0.42311906814575195
3,4,125,-33710.14378167706,-0.0,0.4241914749145508
3,4,343,-19649.559289601908,-0.0,0.44483137130737305
3,4,729,-13633.64275635047,-0.0,0.5236124992370605
3,4,1331,-10579.179403954076,-0.0,0.7497861385345459
3,4,2197,-8761.525111142473,-0.0,1.3971433639526367
4,0,81,-73143.99354542817,-0.0,0.556565523147583
4,0,625,-42806.47639986737,-0.0,0.6486639976501465
4,0,2401,-25801.34313824674,-0.0,1.7887537479400635
4,0,6561,-18326.22371173591,-0.0,13.250406742095947
4,1,81,-76681.7390561908,-0.0,0.5730340480804443
4,1,625,-43502.905966399034,-0.0,0.6446349620819092
4,1,2401,-25796.89968735093,-0.0,1.758457899093628
4,1,6561,-18203.853422335327,-0.0,12.797741174697876
4,2,81,-69740.33690262554,-0.0,0.5696353912353516
4,2,625,-42519.313298248846,-0.0,0.6354739665985107
4,2,2401,-25679.08574035587,-0.0,1.7452125549316406
4,2,6561,-17920.188365324604,-0.0,12.881961822509766
4,3,81,-73991.6534327121,-0.0,0.5644321441650391
4,3,625,-41823.017159914394,-0.0,0.6390023231506348
4,3,2401,-25442.425137229206,-0.0,1.7545676231384277
4,3,6561,-17689.680970165595,-0.0,12.860064029693604
4,4,81,-77682.6293162645,-0.0,0.5677568912506104
4,4,625,-43519.30429476753,-0.0,0.6502819061279297
4,4,2401,-25944.96254968775,-0.0,1.7829625606536865
4,4,6561,-18133.20811469748,-0.0,12.84500527381897
