,dim,marg_lik,mean_log_pred,num_inducing,rep,time
62,3,-45440.7210735249,-0.7114755632,3,2,56.1873576641
63,3,-27438.9995578172,-0.5385050442,4,2,69.5908746719
64,3,-19362.9522489444,-0.4338537741,5,2,86.6538689137
65,3,-199442.978844527,-1.4557986825,1,3,38.1580035686
66,3,-97255.6159549477,-1.0592650556,2,3,57.4256341457
67,3,-46608.0514840237,-0.7568176102,3,3,67.8859014511
68,3,-27827.1314704786,-0.5822274145,4,3,85.0577118397
69,3,-19771.2241709261,-0.5060952758,5,3,104.6002326012
70,3,-168551.345717832,-1.2996052954,1,4,168.6872150898
71,3,-94469.6193584415,-1.0047808911,2,4,72.8968243599
72,3,-44551.6462023147,-0.6757894544,3,4,87.1964924335
73,3,-25525.9982744878,-0.5034107615,4,4,96.7099483013
74,3,-18598.9708101449,-0.4283616847,5,4,120.1390194893
75,4,-226695.42888303,-1.564515609,1,0,85.7148330212
76,4,-121333.212830919,-1.1531577995,2,0,115.6800444126
77,4,-59718.2294138947,-0.8343168444,3,0,171.3159475327
78,4,-226695.42888303,-1.564515609,1,0,3.3957719803
79,4,-121333.212830919,-1.1531577995,2,0,30.0054836273
80,4,-59718.2294138947,-0.8343168444,3,0,70.0298864841
81,4,-36669.3965718134,-0.6481364698,4,0,161.6383533478
82,4,-28097.2075569052,-0.5564114152,5,0,346.0215089321
83,4,-204260.198835622,-1.4646513882,1,1,7.728053093
84,4,-121958.94312359,-1.1250365515,2,1,36.7235264778
85,4,-58824.367226144,-0.8107035587,3,1,83.6067786217
86,4,-38024.7085054424,-0.6629895705,4,1,195.5160365105
87,4,-28101.8390026469,-0.5644578622,5,1,363.6498684883
88,4,-184502.870895728,-1.3629961473,1,2,11.8850622177
89,4,-120751.174802692,-1.1400705991,2,2,43.2546966076
90,4,-61947.2686428644,-0.8613482461,3,2,78.3340749741
91,4,-38306.0727412191,-0.6692329997,4,2,171.8889276981
92,4,-28115.4535464703,-0.56426551,5,2,327.7184689045
93,4,-196220.118576052,-1.4277648477,1,3,15.5980958939
94,4,-116560.493440245,-1.0902893899,2,3,43.0090067387
95,4,-59989.7157343331,-0.7983469788,3,3,84.3666727543
96,4,-37871.1468069527,-0.6450286852,4,3,182.0064508915
97,4,-27600.3833292292,-0.5283101983,5,3,330.6230545044
98,4,-187977.897354744,-1.3680457387,1,4,20.7018566132
99,4,-121541.277761252,-1.1361727562,2,4,47.5189530849
100,4,-60532.1346682077,-0.8304385911,3,4,93.4725761414
101,4,-38181.5929895261,-0.670652053,4,4,180.1247332096
102,4,-28690.1450232151,-0.568414047,5,4,336.5314147472
103,5,-212323.372700342,-1.496906749,1,0,26.798612833
104,5,-134469.001416294,-1.1830121929,2,0,82.8529677391
105,5,-75466.5226247457,-0.933290949,3,0,329.6344852448
106,5,-55111.8570294784,-0.8258768953,4,0,1188.6041567326
107,5,-52134.8532851976,-0.8444819333,5,0,3698.8035786152
108,5,-204578.681434027,-1.4747001833,1,1,31.1967129707
109,5,-135230.881327852,-1.1843341763,2,1,89.9263913631
110,5,-77632.1068647308,-0.9523128092,3,1,354.0458085537
111,5,-55418.3124305292,-0.8443841096,4,1,1290.0818917751
112,5,-56156.8146314131,-0.8995238467,5,1,3688.6065254212
113,5,-198864.330174167,-1.4376539895,1,2,38.6567831039
114,5,-137057.474865164,-1.216321421,2,2,97.3863286972
115,5,-82207.0801515896,-1.0102852902,3,2,355.447530508
116,5,-53741.1231592332,-0.8661384835,4,2,1258.9635117054
117,5,-51997.0469686826,-0.9063528564,5,2,3662.365657568
118,5,-187876.339905074,-1.3694733892,1,3,171.047437191
119,5,-134096.126008425,-1.1856714506,2,3,117.491137743
120,5,-77807.6711425677,-0.9605464403,3,3,380.2141976357
121,5,-55245.8027299451,-0.8258924588,4,3,1305.6485395432
122,5,-59101.7718826794,-0.9789249403,5,3,1025.6542870998
123,5,-190840.581257034,-1.3983381098,1,4,60.6574184895
124,5,-135394.980239474,-1.2022859484,2,4,113.9640979767
125,5,-81661.5324221471,-0.9960019454,3,4,378.6236293316
