dim,rep,num_inducing,marg_lik,mean_log_pred,time
2,2,2025,-3092.8750792340434,-0.0,5.054863929748535
2,3,9,-52829.151652955305,-0.0,0.20010852813720703
2,3,49,-11151.660149033545,-0.0,0.21260571479797363
2,3,225,-3832.9292779713796,-0.0,0.3094344139099121
2,3,441,-3400.247086760741,-0.0,0.504605770111084
2,3,729,-3281.7711216018215,-0.0,0.919205904006958
2,3,1225,-3228.948038827577,-0.0,2.0226104259490967
2,3,2025,-3202.817916150714,-0.0,5.0891430377960205
2,4,9,-59526.47945286309,-0.0,0.20070981979370117
2,4,49,-10963.640952346119,-0.0,0.2105567455291748
2,4,225,-3866.150824563265,-0.0,0.3130006790161133
2,4,441,-3342.8990330110246,-0.0,0.5039606094360352
2,4,729,-3225.9951612063523,-0.0,0.9214305877685547
2,4,1225,-3168.7737495964757,-0.0,2.015427350997925
2,4,2025,-3143.3614719807883,-0.0,5.103366374969482
3,0,27,-68628.5761783871,-0.0,0.26863908767700195
3,0,125,-30138.7743179057,-0.0,0.32366394996643066
3,0,343,-14723.810033641683,-0.0,0.49814653396606445
3,0,729,-9191.033608892278,-0.0,1.056166172027588
3,0,1331,-6985.426672313231,-0.0,2.5178561210632324
3,0,2197,-5841.018737751103,-0.0,6.256882905960083
3,1,27,-70447.85139309049,-0.0,0.2682809829711914
3,1,125,-31582.691578312486,-0.0,0.3198354244232178
3,1,343,-15681.664148682139,-0.0,0.499467134475708
3,1,729,-9077.174709204497,-0.0,1.0419487953186035
3,1,1331,-6911.722950675707,-0.0,2.542492389678955
3,1,2197,-5868.822316778387,-0.0,6.27526068687439
3,2,27,-73857.6167293693,-0.0,0.26779794692993164
3,2,125,-31798.946499806523,-0.0,0.3108177185058594
3,2,343,-15787.349331641963,-0.0,0.4921233654022217
3,2,729,-9516.6413986724,-0.0,1.0572211742401123
3,2,1331,-6929.065982363558,-0.0,2.5100455284118652
3,2,2197,-5853.013760713904,-0.0,6.253791093826294
3,3,27,-65514.36878964601,-0.0,0.2694847583770752
3,3,125,-30517.75738564514,-0.0,0.3125762939453125
3,3,343,-14544.918219041356,-0.0,0.49664831161499023
3,3,729,-9597.519795672844,-0.0,1.0493521690368652
3,3,1331,-6903.13629303583,-0.0,2.5793120861053467
3,3,2197,-5799.423919094057,-0.0,6.194040298461914
3,4,27,-76338.60768486452,-0.0,0.30809473991394043
3,4,125,-31770.473204812737,-0.0,0.31415843963623047
3,4,343,-15190.234639541668,-0.0,0.49608778953552246
3,4,729,-9740.64500977494,-0.0,1.0454049110412598
3,4,1331,-7063.665219508221,-0.0,2.5379204750061035
3,4,2197,-6036.8461387565985,-0.0,6.355796813964844
4,0,81,-82631.26864516255,-0.0,0.3589034080505371
4,0,625,-38627.914421858084,-0.0,1.0059926509857178
4,0,2401,-20111.211768204077,-0.0,7.74358606338501
4,0,6561,-13085.541143834227,-0.0,59.32125926017761
4,1,81,-84616.32783229991,-0.0,0.36626648902893066
4,1,625,-39665.09965276388,-0.0,0.988969087600708
4,1,2401,-20165.511546535818,-0.0,7.738238096237183
4,1,6561,-13046.547351992158,-0.0,58.903687953948975
4,2,81,-77416.17420980673,-0.0,0.3577609062194824
4,2,625,-39146.19175117918,-0.0,0.9909889698028564
4,2,2401,-19877.350992834014,-0.0,7.798946142196655
4,2,6561,-12837.283419514977,-0.0,59.058260679244995
4,3,81,-81654.7544991088,-0.0,0.35948991775512695
4,3,625,-38884.32196894983,-0.0,1.0125560760498047
4,3,2401,-19378.904403225213,-0.0,7.725408554077148
4,3,6561,-12516.081449906334,-0.0,58.954944372177124
4,4,81,-82671.81892341762,-0.0,0.36663150787353516
4,4,625,-40023.305052499396,-0.0,0.9999122619628906
4,4,2401,-20095.091730583517,-0.0,7.853109836578369
4,4,6561,-12875.348550659182,-0.0,60.085612535476685
